DATA PENGUKURANPENGUKURAN LVA
TANGGAL :27/03/2018
OPERATOR :ANSORI
TIME	FREQ (Hz)	THD (%)	Vpeak (V)	Vrms (V)	Vdc (V)
10:46:28	21087,33	5,03	3,56	0,05	0,37
10:46:28	21087,33	5,03	3,56	0,05	0,37
10:46:28	21087,33	5,03	3,56	0,05	0,37
10:47:18	21085,42	5,03	3,56	0,06	0,56
10:47:23	21085,33	5,03	3,56	0,07	0,57
10:47:28	21086,54	5,01	3,47	0,07	0,98
10:47:33	21082,17	5,01	3,47	0,07	0,77
10:47:38	21092,29	5,02	3,48	0,07	0,89
10:47:43	21103,34	5,02	3,47	0,06	0,96
10:47:48	21086,07	5,01	3,47	0,06	0,85
